date,BDI,BCI,BPI,BSI,BHSI
2001-05-12,1320,1782,1320,1056,858
2001-05-13,1329,1782,1329,1063,864
2001-05-14,1351,1772,1351,1081,878
2001-05-15,1368,1776,1368,1094,889
2001-05-18,1376,1776,1376,1101,894
2001-05-19,1388,1770,1388,1110,902
2001-05-20,1396,1760,1396,1117,907
2001-05-21,1403,1748,1403,1122,912
2001-05-22,1404,1735,1404,1123,913
2001-05-25,1406,1735,1406,1125,914
2001-05-26,1405,1712,1405,1124,913
2001-05-27,1400,1708,1400,1120,910
2001-05-28,1393,1703,1393,1114,905
2001-05-29,1384,1695,1384,1107,900
2001-06-01,1378,1695,1378,1102,896
2001-06-02,1368,1693,1368,1094,889
2001-06-03,1354,1689,1354,1083,880
2001-06-04,1340,1672,1340,1072,871
2001-06-05,1329,1651,1329,1063,864
2001-06-08,1319,1651,1319,1055,857
2001-06-09,1311,1625,1311,1049,852
2001-06-10,1296,1619,1296,1037,842
2001-06-11,1286,1613,1286,1029,836
2001-06-12,1280,1608,1280,1024,832
2001-06-15,1276,1608,1276,1021,829
2001-06-16,1277,1602,1277,1022,830
2001-06-17,1293,1611,1293,1034,840
2001-06-18,1317,1653,1317,1054,856
2001-06-19,1345,1703,1345,1076,874
2001-06-22,1365,1703,1365,1092,887
2001-06-23,1392,1807,1392,1114,905
2001-06-24,1419,1855,1419,1135,922
2001-06-25,1438,1898,1438,1150,935
2001-06-26,1454,1935,1454,1163,945
2001-06-29,1466,1935,1466,1173,953
2001-06-30,1481,1992,1481,1185,963
2001-07-01,1491,2028,1491,1193,969
2001-07-02,1501,2055,1501,1201,976
2001-07-03,1511,2072,1511,1209,982
2001-07-06,1521,2072,1521,1217,989
2001-07-07,1531,2106,1531,1225,995
2001-07-08,1547,2118,1547,1238,1006
2001-07-09,1561,2140,1561,1249,1015
2001-07-10,1578,2154,1578,1262,1026
2001-07-13,1588,2154,1588,1270,1032
2001-07-14,1602,2186,1602,1282,1041
2001-07-15,1618,2196,1618,1294,1052
2001-07-16,1634,2208,1634,1307,1062
2001-07-17,1645,2224,1645,1316,1069
2001-07-20,1649,2224,1649,1319,1072
2001-07-21,1645,2237,1645,1316,1069
2001-07-22,1640,2241,1640,1312,1066
2001-07-23,1633,2247,1633,1306,1061
2001-07-24,1630,2251,1630,1304,1060
2001-07-27,1628,2251,1628,1302,1058
2001-07-28,1624,2248,1624,1299,1056
2001-07-29,1620,2240,1620,1296,1053
2001-07-30,1617,2231,1617,1294,1051
2001-07-31,1618,2221,1618,1294,1052
2001-08-03,1623,2221,1623,1298,1055
2001-08-04,1627,2207,1627,1302,1058
2001-08-05,1638,2211,1638,1310,1065
2001-08-06,1651,2235,1651,1321,1073
2001-08-07,1660,2258,1660,1328,1079
2001-08-10,1669,2258,1669,1335,1085
2001-08-11,1676,2293,1676,1341,1089
2001-08-12,1679,2313,1679,1343,1091
2001-08-13,1682,2329,1682,1346,1093
2001-08-14,1684,2345,1684,1347,1095
2001-08-17,1686,2345,1686,1349,1096
2001-08-18,1684,2369,1684,1347,1095
2001-08-19,1681,2369,1681,1345,1093
2001-08-20,1679,2354,1679,1343,1091
2001-08-21,1676,2342,1676,1341,1089
2001-08-24,1674,2342,1674,1339,1088
2001-08-25,1670,2313,1670,1336,1086
2001-08-26,1661,2304,1661,1329,1080
2001-08-27,1656,2281,1656,1325,1076
2001-09-01,1647,2281,1647,1318,1071
2001-09-02,1641,2258,1641,1313,1067
2001-09-03,1635,2251,1635,1308,1063
2001-09-04,1628,2241,1628,1302,1058
2001-09-08,1622,2241,1622,1298,1054
2001-09-09,1615,2218,1615,1292,1050
2001-09-10,1609,2201,1609,1287,1046
2001-09-11,1609,2188,1609,1287,1046
2001-09-14,1607,2188,1607,1286,1045
2001-09-15,1609,2177,1609,1287,1046
2001-09-16,1611,2171,1611,1289,1047
2001-09-17,1614,2171,1614,1291,1049
2001-09-18,1616,2170,1616,1293,1050
2001-09-21,1615,2170,1615,1292,1050
2001-09-22,1612,2160,1612,1290,1048
2001-09-23,1610,2151,1610,1288,1046
2001-09-24,1609,2142,1609,1287,1046
2001-09-25,1607,2134,1607,1286,1045
2001-09-28,1606,2134,1606,1285,1044
2001-09-29,1598,2112,1598,1278,1039
2001-09-30,1589,2089,1589,1271,1033
2001-10-01,1582,2068,1582,1266,1028
2001-10-02,1576,2050,1576,1261,1024
2001-10-06,1569,2050,1569,1255,1020
2001-10-07,1566,2068,1566,1253,1018
2001-10-08,1562,2014,1562,1250,1015
2001-10-09,1562,2007,1562,1250,1015
2001-10-12,1561,2007,1561,1249,1015
2001-10-13,1559,2002,1559,1247,1013
2001-10-14,1559,1995,1559,1247,1013
2001-10-15,1562,1992,1562,1250,1015
2001-10-16,1564,1988,1564,1251,1017
2001-10-19,1566,1988,1566,1253,1018
2001-10-20,1569,1986,1569,1255,1020
2001-10-21,1570,1988,1570,1256,1020
2001-10-22,1577,1990,1577,1262,1025
2001-10-23,1586,2005,1586,1269,1031
2001-10-26,1592,2005,1592,1274,1035
2001-10-27,1599,2045,1599,1279,1039
2001-10-28,1612,2065,1612,1290,1048
2001-10-29,1620,2103,1620,1296,1053
2001-10-30,1624,2131,1624,1299,1056
2001-11-02,1626,2131,1626,1301,1057
2001-11-03,1625,2152,1625,1300,1056
2001-11-04,1621,2155,1621,1297,1054
2001-11-05,1618,2155,1618,1294,1052
