date,iron_ore_usd_dmt,coal_au_usd_mt,coal_sa_usd_mt,crude_avg_usd_bbl
1984-01-01,26.15,29.25,29.34,29.04333305359
1984-02-01,26.15,29.25,29.34,29.203332901
1984-03-01,26.15,29.25,29.34,29.53333346049
1984-04-01,26.15,29.25,29.34,29.57333246867
1984-05-01,26.15,29.25,29.34,29.46000035604
1984-06-01,26.15,31.75,34.31,29.05000050863
1984-07-01,26.15,31.75,35.8,27.98666699727
1984-08-01,26.15,31.75,35.8,28.17000007629
1984-09-01,26.15,31.75,35.8,28.35333315531
1984-10-01,26.15,31.75,35.8,27.85333315531
1984-11-01,26.15,32.75,35.305,27.65000025431
1984-12-01,26.15,33.75,34.935,26.81333351135
1985-01-01,26.56,33.75,35.06,26.63333333333
1985-02-01,26.56,33.75,35.06,27.6
1985-03-01,26.56,33.75,35.06,27.85
1985-04-01,26.56,33.75,35.06,27.8
1985-05-01,26.56,33.75,35.06,26.65
1985-06-01,26.56,33.75,35.06,26.36666666667
1985-07-01,26.56,33.75,35.06,26.38333333333
1985-08-01,26.56,33.75,35.06,27.01666666667
1985-09-01,26.56,33.75,35.06,26.98333333333
1985-10-01,26.56,33.75,34.49,27.81666666667
1985-11-01,26.56,33.75,34.49,28.6
1985-12-01,26.56,33.75,34.49,26.5
1986-01-01,26.26,33.75,33.83,24.68333333333
1986-02-01,26.26,33.75,33.83,15.91666666667
1986-03-01,26.26,30.75,31.64,12.65
1986-04-01,26.26,30.75,31.64,11.9
1986-05-01,26.26,30.75,29.46,13.71666666667
1986-06-01,26.26,30.75,29.46,11.85
1986-07-01,26.26,30.75,29.46,9.61666666667
1986-08-01,26.26,30.75,29.46,13.7
1986-09-01,26.26,30.75,29.46,14.08333333333
1986-10-01,26.26,30.75,29.46,13.95
1986-11-01,26.26,30.75,29.46,14.45
1986-12-01,26.26,29.25,27.28,15.68333333333
1987-01-01,25.3,29.25,27.28,18.06666666667
1987-02-01,25.3,29.25,27.28,17.25
1987-03-01,25.3,29.25,27.28,17.75
1987-04-01,25.3,24.75,26.18,17.9
1987-05-01,25.3,24.75,26.18,18.4
1987-06-01,25.3,24.75,26.18,18.71666666667
1987-07-01,25.3,27.0,26.18,19.61666666667
1987-08-01,25.3,27.0,26.18,18.81666666667
1987-09-01,25.3,27.0,26.18,18.28333333333
1987-10-01,25.3,27.0,26.18,18.56666666667
1987-11-01,25.3,29.0,26.34,17.75
1987-12-01,25.3,31.0,26.5,16.63333333333
1988-01-01,24.3,31.0,26.5,16.46666666667
1988-02-01,24.3,31.0,26.0,15.85
1988-03-01,24.3,33.0,26.5,14.78333333333
1988-04-01,24.3,33.0,27.0,16.46666666667
1988-05-01,24.3,33.0,27.5,16.21666666667
1988-06-01,24.3,36.0,27.5,15.33333333333
1988-07-01,24.3,36.0,27.5,14.48333333333
1988-08-01,24.3,36.0,28.5,14.55
1988-09-01,24.3,37.0,29.25,13.1
1988-10-01,24.3,37.0,30.0,12.18333333333
1988-11-01,24.3,37.5,30.0,12.53333333333
1988-12-01,24.3,38.0,31.0,14.65
1989-01-01,27.83,38.0,31.0,16.48333333333
1989-02-01,27.83,38.0,31.0,16.35
1989-03-01,27.83,38.0,31.0,18.03333333333
1989-04-01,27.83,38.0,31.0,19.2
1989-05-01,27.83,38.0,31.0,18.01666666667
1989-06-01,27.83,38.0,31.0,17.63333333333
1989-07-01,27.83,38.0,31.0,17.66666666667
1989-08-01,27.83,38.0,31.0,16.88333333333
1989-09-01,27.83,38.0,31.0,17.66666666667
1989-10-01,27.83,38.0,31.0,18.41666666667
1989-11-01,27.83,38.0,31.0,18.36666666667
1989-12-01,27.83,38.0,31.0,19.35
1990-01-01,32.5,38.0,31.0,20.35
1990-02-01,32.5,38.0,31.0,19.6
1990-03-01,32.5,38.0,31.0,18.21666666667
1990-04-01,32.5,38.0,31.0,16.55
1990-05-01,32.5,40.5,32.5,16.58333333333
1990-06-01,32.5,40.5,34.0,15.26666666667
1990-07-01,32.5,40.5,34.0,17.16666666667
1990-08-01,32.5,40.5,34.0,26.4
1990-09-01,32.5,40.5,34.0,32.7
1990-10-01,32.5,40.5,34.0,34.5
1990-11-01,32.5,40.5,34.0,31.08333333333
1990-12-01,32.5,40.5,34.0,26.13333333333
1991-01-01,34.76,40.5,34.0,22.58333333333
1991-02-01,34.76,40.5,34.0,18.13333333333
1991-03-01,34.76,39.5,31.0,18.06666666667
1991-04-01,34.76,39.5,31.0,18.46666666667
1991-05-01,34.76,39.5,31.0,18.81666666667
1991-06-01,34.76,39.5,31.0,17.93333333333
1991-07-01,34.76,39.5,31.0,19.05
1991-08-01,34.76,39.5,31.0,19.36666666667
1991-09-01,34.76,39.5,31.0,20.05
1991-10-01,34.76,39.5,31.0,21.46666666667
1991-11-01,34.76,39.5,31.0,20.76666666667
1991-12-01,34.76,39.5,31.0,17.75
1992-01-01,33.1,39.5,31.0,17.38333333333
1992-02-01,33.1,39.5,31.0,17.61666666667
1992-03-01,33.1,39.5,31.0,17.45
1992-04-01,33.1,39.5,31.0,18.63333333333
1992-05-01,33.1,39.5,31.0,19.5
